lan@fedora:~/Programs/side_channel_leakage$ sudo python basic_pyshark.py 

Please enter the name of the interface: wlp0s20f0u1u1
2026-05-01 22:27:56,833 - LiveCapture - DEBUG - Creating Dumpcap subprocess with parameters: /usr/sbin/dumpcap -q -i wlp0s20f0u1u1 -w -
2026-05-01 22:27:56,834 - LiveCapture - DEBUG - Dumpcap subprocess (pid 27846) created
2026-05-01 22:27:57,017 - LiveCapture - DEBUG - Creating TShark subprocess with parameters: /usr/sbin/tshark -l -n -T pdml -Y (wlan.fc.type_subtype == 0x00||  wlan.fc.type_subtype == 0x04 || wlan.fc.type_subtype == 0x05 ) -i -
2026-05-01 22:27:57,017 - LiveCapture - DEBUG - Executable: /usr/sbin/tshark
2026-05-01 22:27:57,018 - LiveCapture - DEBUG - Capturing on 'wlp0s20f0u1u1'
2026-05-01 22:27:57,018 - LiveCapture - DEBUG - File: -
2026-05-01 22:27:57,019 - LiveCapture - DEBUG - TShark subprocess (pid 27871) created
2026-05-01 22:27:57,071 - LiveCapture - DEBUG - Running as user "root" and group "root". This could be dangerous.
2026-05-01 22:27:57,199 - LiveCapture - DEBUG - Capturing on 'Standard input'
SubType: '5'   | MAC: 'b0:0a:d5:d6:46:4c' | SSID: 'Three_CC464C'| Dest BSSID : '62:26:0a:4c:c0:6b' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '5'   | MAC: 'b0:0a:d5:d6:46:4c' | SSID: 'Three_CC464C'| Dest BSSID : '62:26:0a:4c:c0:6b' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: 'ca:65:c3:86:5b:31' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: '22:88:1b:61:42:7b' | SSID: 'Three_CC464C'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-68' dBm | Distance: '0.25' m
SubType: '4'   | MAC: '36:13:f1:58:d6:1d' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-76' dBm | Distance: '0.63' m
SubType: '4'   | MAC: '36:13:f1:58:d6:1d' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-78' dBm | Distance: '0.79' m
SubType: '4'   | MAC: '1a:e8:a3:24:29:70' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-84' dBm | Distance: '1.58' m
SubType: '4'   | MAC: '1a:e8:a3:24:29:70' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-84' dBm | Distance: '1.58' m
SubType: '4'   | MAC: '1a:e4:5a:aa:b6:ca' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-78' dBm | Distance: '0.79' m
SubType: '5'   | MAC: 'b0:0a:d5:d6:46:4c' | SSID: 'Three_CC464C'| Dest BSSID : '1a:e4:5a:aa:b6:ca' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: '1a:e4:5a:aa:b6:ca' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-78' dBm | Distance: '0.79' m
SubType: '5'   | MAC: 'b0:0a:d5:d6:46:4c' | SSID: 'Three_CC464C'| Dest BSSID : '1a:e4:5a:aa:b6:ca' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: 'e6:71:8b:1d:8e:16' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: 'e6:71:8b:1d:8e:16' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: '6e:6a:af:d9:ea:85' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-80' dBm | Distance: '1.0' m
SubType: '4'   | MAC: '6e:6a:af:d9:ea:85' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-80' dBm | Distance: '1.0' m
SubType: '4'   | MAC: '0e:9c:dc:59:a1:3e' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-78' dBm | Distance: '0.79' m
SubType: '5'   | MAC: 'b0:0a:d5:d6:46:4c' | SSID: 'Three_CC464C'| Dest BSSID : '0e:9c:dc:59:a1:3e' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: '0e:9c:dc:59:a1:3e' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-76' dBm | Distance: '0.63' m
SubType: '5'   | MAC: 'b0:0a:d5:d6:46:4c' | SSID: 'Three_CC464C'| Dest BSSID : '0e:9c:dc:59:a1:3e' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: 'c2:4c:6c:af:82:38' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-86' dBm | Distance: '2.0' m
