lan@fedora:~/Programs/side_channel_leakage$ sudo python prototype_pyshark.py 
Please enter the name of the interface: wlp0s20f0u1u1
2026-05-03 16:40:06,876 - LiveCapture - DEBUG - Creating Dumpcap subprocess with parameters: /usr/sbin/dumpcap -q -i wlp0s20f0u1u1 -w -
2026-05-03 16:40:06,877 - LiveCapture - DEBUG - Dumpcap subprocess (pid 5171) created
2026-05-03 16:40:06,996 - LiveCapture - DEBUG - Creating TShark subprocess with parameters: /usr/sbin/tshark -l -n -T pdml -Y (wlan.fc.type_subtype == 0x00|| wlan.fc.type_subtype == 0x01|| wlan.fc.type_subtype == 0x02|| wlan.fc.type_subtype == 0x03 ||  wlan.fc.type_subtype == 0x04 || wlan.fc.type_subtype == 0x05 || wlan.fc.type_subtype == 0x08)&& (wlan.ssid == "TP-Link_D5C0") -i -
2026-05-03 16:40:06,996 - LiveCapture - DEBUG - Executable: /usr/sbin/tshark
2026-05-03 16:40:06,997 - LiveCapture - DEBUG - Capturing on 'wlp0s20f0u1u1'
2026-05-03 16:40:06,997 - LiveCapture - DEBUG - File: -
2026-05-03 16:40:06,997 - LiveCapture - DEBUG - TShark subprocess (pid 5195) created
2026-05-03 16:40:07,028 - LiveCapture - DEBUG - Running as user "root" and group "root". This could be dangerous.
2026-05-03 16:40:07,110 - LiveCapture - DEBUG - Capturing on 'Standard input'
SubType: '4'   | MAC: '3a:3c:a0:8f:36:6a' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '0.05' m
SubType: '4'   | MAC: '3a:3c:a0:8f:36:6a' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '0.05' m
SubType: '4'   | MAC: '4e:53:db:68:95:28' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '0.05' m
SubType: '4'   | MAC: '4e:53:db:68:95:28' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '0.05' m
SubType: '4'   | MAC: '16:19:12:bd:2e:6f' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-58' dBm | Distance: '0.08' m
SubType: '4'   | MAC: '16:19:12:bd:2e:6f' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-56' dBm | Distance: '0.06' m
SubType: '4'   | MAC: '8a:32:0d:a3:43:80' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-58' dBm | Distance: '0.08' m
SubType: '4'   | MAC: '8a:32:0d:a3:43:80' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-56' dBm | Distance: '0.06' m
SubType: '4'   | MAC: '16:3e:c5:2d:4e:fe' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '0.05' m
SubType: '4'   | MAC: '16:3e:c5:2d:4e:fe' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '0.05' m
SubType: '4'   | MAC: '3e:56:c1:4c:78:af' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-58' dBm | Distance: '0.08' m
SubType: '4'   | MAC: '3e:56:c1:4c:78:af' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-60' dBm | Distance: '0.1' m
SubType: '4'   | MAC: '9e:e9:65:af:58:fa' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-60' dBm | Distance: '0.1' m
SubType: '4'   | MAC: '9e:e9:65:af:58:fa' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-58' dBm | Distance: '0.08' m
SubType: '4'   | MAC: 'e2:fc:b2:31:9a:03' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '0.05' m
SubType: '4'   | MAC: 'e2:fc:b2:31:9a:03' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '0.05' m
